Rk,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team2
24,Arizona,118.362,96.457,0.913,32–5,32,37,53.7,47.7,40.5,28.6,16.6,17.4,33.2,26,67.2,51.5,48.4,39,31,8.8,7.7,51.3,53.3,30.5,36.4,65.729,78.741,83.44,1.133,"2,017",0.02,-0.371,71.921,,76.5,68.4,1.139,0.981,26.665,Arizona
25,South Carolina,109.394,90.029,0.904,25–11,25,36,47.3,45.5,40.2,44.5,18.4,24.3,34,31.6,69.5,45.9,45.4,33.4,30.6,10.6,9.7,50.7,45.8,33.5,34.8,68.235,77.096,80.611,1.537,"2,017",2.94,3.093,50.958,,70.1,72.4,1.028,0.924,32.353,South Carolina
26,Butler,118.449,97.814,0.9,25–9,25,34,54.6,50.8,37.1,37,15,19.6,27.2,27,67.2,54.5,51.3,36.6,33.3,8.4,7.3,50,44.7,37.6,37.7,65.871,76.445,79.729,2.01,"2,017",0.3,0.464,48.146,,74.1,69.7,1.127,1.017,33.3,Butler
27,Florida St.,116.087,96.186,0.897,26–9,26,35,53.7,47.9,38.4,37.3,16.4,19.5,33.8,29.8,72.5,54.4,45.4,34.7,34.9,13.7,7.1,49.3,49.5,31.3,36.1,71.43,79.168,82.425,1.262,"2,017",-0.66,-0.864,70.581,,68.9,71.5,1.132,0.994,32.158,Florida St.
28,Creighton,115.177,96.216,0.888,24–10,24,34,57.6,49.9,27.9,29.3,17.1,19.3,24.2,29.6,72.6,56.4,50.2,39.8,33,7.7,7.5,55.9,47.8,35.9,36.8,71.342,77.288,81.778,1.718,"2,017",-0.91,-1.079,45.608,,68.3,68.9,1.12,1.005,30.332,Creighton
29,Vanderbilt,113.098,94.752,0.884,19–16,19,35,52.1,48.1,34.8,30.7,18.2,16.1,24.8,27,67.1,48.1,46.8,37.6,33.8,9.9,10.7,55.2,46.3,48.6,33,65.672,78.27,81.583,1.834,"2,017",-0.66,-0.6,53.364,,77.7,69.9,1.056,1.012,33.62,Vanderbilt
30,Marquette,122.477,102.867,0.881,19–13,19,32,57.5,52.2,31,35.7,17.3,18.3,27.1,29.2,71.1,52.7,50.6,42.9,36.8,9.3,10.4,57.1,59.6,41.5,34.2,70.169,76.594,80.145,1.671,"2,017",-0.6,-0.621,76.631,,78.1,69.7,1.152,1.059,31.215,Marquette
31,Wake Forest,123.017,103.685,0.877,19–14,19,33,54.1,52.7,40.7,38,16.4,16.2,30.7,27.7,71.7,52.1,52.1,38.5,35.8,10.1,9.9,55.5,52.7,35.7,38.8,70.659,77.249,81.314,1.395,"2,017",0,0,47.009,,77.8,72.4,1.155,1.094,34.672,Wake Forest
32,Kansas St.,112.932,95.257,0.876,21–14,21,35,52.7,49.6,41.1,33.4,19.1,22.1,29.5,32.3,67.5,51.8,45.5,36.2,38.2,10.3,9.5,60.1,55.5,36.3,34,65.82,77.426,80.959,1.595,"2,017",-0.62,-0.607,45.961,,69.5,72.9,1.065,1.001,35.343,Kansas St.
33,Miami FL,111.401,94.103,0.874,21–12,21,33,51,47.6,34.3,28.7,19.5,18.3,33.4,28.2,64.7,49.8,46.6,35.6,33,10.5,8.3,47.8,51.9,32.6,34.7,63.27,78.107,80.679,1.45,"2,017",-0.67,-0.7,74.813,,71.8,73.9,1.063,0.988,34.167,Miami FL
34,Rhode Island,112.038,94.969,0.87,25–10,25,35,50.8,45,39.2,45,16.4,19.4,32.8,29.7,67.4,51.2,45.4,33.3,29.5,15.8,7.8,50.8,46.3,32.3,30,66.386,77.065,79.822,1.795,"2,017",0.34,0.393,64.496,,66.8,70.8,1.088,0.966,21.97,Rhode Island
35,Xavier,116.266,98.872,0.866,24–14,24,38,51.9,51.6,41.1,33.4,18.4,17.5,34.5,25.5,68.2,52,52.5,34.5,33.4,7.7,10.4,57,55,36.1,39.5,67.047,78.488,80.22,1.708,"2,017",2.04,2.393,61.847,,68.8,69.8,1.091,1.042,34.74,Xavier
36,Minnesota,110.093,93.861,0.862,24–10,24,34,48.7,45.1,39.6,29.2,16.1,17.6,29.7,30.2,70.3,47.5,44.5,34.3,30.9,15.9,8.7,57.2,53.7,29.9,33.2,69.549,78.278,81.148,1.272,"2,017",-0.86,-1.114,59.566,,71.1,68.2,1.046,0.966,28.848,Minnesota
37,Michigan St.,112.314,95.839,0.861,20–15,20,35,54,46.7,33.5,34.7,20.5,15.9,29.2,27.3,68.1,52.9,44.1,37.3,34.6,11.9,8.8,65.3,53.6,38,32.6,66.758,75.953,78.605,1.115,"2,017",0.31,0.4,70.413,,67,72.6,1.052,1.005,34.582,Michigan St.
38,Northwestern,111.852,95.838,0.855,24–12,24,36,49.7,46.1,30.5,36.1,16,17.9,30.8,30.6,66.5,48.8,44,34.2,33.3,13.2,10.4,59.3,52.4,35.6,34.5,65.542,77.838,79.787,1.685,"2,017",0.38,0.3,54.109,,74.8,66.9,1.068,0.984,30.172,Northwestern
39,Maryland,114.113,98.93,0.838,23–9,23,32,52.4,47.5,38.5,32.6,19,18,30.4,32.3,67.8,51,45.6,36.3,34.2,11.7,11.2,56.8,46.7,41.1,32.9,67.225,77.287,80.779,1.171,"2,017",-0.7,-1.079,72.827,,70.2,70.4,1.076,1.01,27.95,Maryland
40,Virginia Tech,119.043,103.453,0.834,22–11,22,33,56.9,51,40.9,27.3,17.2,16.5,23.4,30.5,69.8,54.6,49,40.3,36.3,7,11.8,56,49.9,39.7,35.9,68.658,76.574,78.897,1.923,"2,017",-0.38,-0.6,67.076,,73.7,71.7,1.126,1.063,32.914,Virginia Tech
41,Middle Tennessee,112.139,97.573,0.832,30–5,30,35,54.1,47.9,30,38.2,15.6,19.8,30.1,23.8,66.2,53.6,47.1,36.9,32.8,8.3,5.8,54.3,51,30.1,35.4,64.412,76.761,80.21,2.099,"2,017",0.26,0.486,17.718,,70.1,71.5,1.117,0.962,13.968,Middle Tennessee
