,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
57,Colgate,112.546,106.207,0.661,25–8,25,33,58.6,51.9,27.6,20.3,14.9,17.6,24.9,24.1,68,57.1,51.5,40.9,34.9,7.7,8.3,61.5,53.7,34.8,36.9,67.756,77.432,81.122,2.225,"2,023",0,0,0.2,,66.2,68.6,1.15,1.019,8.424,Colgate
58,Princeton,108.838,103.018,0.653,19–8,19,27,52.5,48,32.2,29.3,16.9,14.5,28.4,22.8,68.3,53.5,47.2,34,33.1,8.2,9.8,47.9,43.3,40.7,32.6,67.486,77.416,79.56,1.781,"2,023",0,0,0.2,,71.3,68.9,1.081,0.994,10.938,Princeton
59,Kennesaw St.,106.388,101.416,0.634,23–8,23,31,52.9,51.2,36.5,36.2,17.9,19.6,27.5,25.8,69.2,51.3,50.5,37.1,34.8,7.8,8.4,54.2,47,37.9,39.3,68.565,75.888,78.649,2.372,"2,023",0,0,21.451,,66.3,69.2,1.054,1.012,14.554,Kennesaw St.
60,Grand Canyon,111.96,106.862,0.631,21–11,21,32,52.9,47.2,37.8,33.2,18.4,15,30.5,30.3,65.9,50.5,46.8,37.6,32,8,8.1,47.1,43.1,40.8,32.8,65.034,77.14,79.456,2.286,"2,023",0,0,20.164,,71.5,70,1.088,1.033,14.781,Grand Canyon
61,UC Santa Barbara,110.987,106.132,0.626,25–7,25,32,54.2,49.8,34.9,29.2,16.8,18.7,26.6,26.1,65.2,54.8,48.9,35.1,34.5,6.6,6.1,52.9,48.5,29.1,31.1,64.677,77.864,80.934,2.238,"2,023",0,0,33.427,,73.7,75.2,1.096,1.004,11.023,UC Santa Barbara
62,Northern Kentucky,103.122,102.335,0.522,20–12,20,32,49.8,51.3,27.4,30.8,17.5,23.2,31.3,32.8,63.1,47.7,48.9,35.2,36.7,8.2,7.3,54.7,60.3,40.7,38.9,61.916,76.519,79.261,2.019,"2,023",0,0,3.182,,70.4,70.2,1.044,1.005,10.775,Northern Kentucky
63,UNC Asheville,102.649,103.081,0.488,25–7,25,32,53.9,48,41.3,26.8,20,17.9,25.8,28.7,68.6,51.4,49.1,38.8,30.5,10.2,11.2,50.1,45.2,37.2,34,68.449,77.241,80.264,2.722,"2,023",0,0,10.637,,69.3,71.8,1.047,0.994,10.578,UNC Asheville
64,Texas A&M Corpus Chris,106.058,107.439,0.463,19–10,19,29,51.2,52.4,34.4,38.6,18,20.9,32.5,27.9,70.7,49,54.1,36.9,33.3,4.5,8.6,55.8,55.8,34.9,41.1,69.214,75.034,78.224,2.728,"2,023",0,0,3.817,,80,69.1,1.098,1.023,9.694,Texas A&M Corpus Chris
65,Howard,103.188,106.564,0.408,19–12,19,31,52,50.6,32.8,34.6,22.8,20.7,33.8,31.6,71,49.9,50.8,37.2,33.6,8.2,8.7,54.7,46.9,36.1,37.1,68.975,76.881,80.642,1.593,"2,023",0,0,10.855,,71.6,69.2,1.033,1.018,9.959,Howard
66,Southeast Missouri St.,100.34,108.336,0.293,17–16,17,33,50,51.6,38.3,43.6,17.3,19,25.3,27.9,73.8,50,50.8,33.3,35.3,8.5,7.7,51.1,50.7,39.8,35.5,72.211,76.042,79.11,1.873,"2,023",0,0,2.181,,71.8,69,1.028,1.034,8.869,Southeast Missouri St.
67,Texas Southern,96.389,105.272,0.266,12–20,12,32,46.2,49.3,34.9,38.1,20.3,18.5,29.3,27.7,70.7,47.4,48.7,28.7,33.6,8.1,8.1,44.3,47.2,28.1,34.9,69.374,77.201,80.339,1.762,"2,023",0,0,6.564,,66,70.9,0.939,1.008,14.998,Texas Southern
68,Fairleigh Dickinson,105.9,118.565,0.214,17–15,17,32,51.5,55.8,27.9,34.8,16.3,21.4,31.4,28.9,69.3,51.4,56.1,34.4,36.9,5.7,10,51.5,56.4,37,40.1,68.787,73.372,77.074,1.939,"2,023",0,0,0.2,,74.9,75.6,1.088,1.084,5.149,Fairleigh Dickinson
