Rk_x,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Rk_y
39,Princeton,117.5,103.9,0.805,2–0,2,2,50.4,51.4,36.1,27.9,10.9,14.8,34.7,23.5,64.0,45.8,46.5,38.3,40.0,9.9,16.7,47.1,55.1,39.5,36.0,64.8,77.416,79.56,1.781,2015,0.0,0.0,0.2,72.1,67.7,1.179,1.054,12.303,
40,Grand Canyon,127.1,112.9,0.796,4–0,4,4,64.9,48.5,48.8,38.6,14.9,10.1,20.4,26.1,67.0,58.3,52.4,48.4,28.1,4.8,10.2,60.2,50.0,46.3,37.7,66.5,77.14,79.456,2.286,2015,0.0,0.0,20.164,68.4,74.7,1.224,1.109,15.457,
41,Xavier,111.4,99.2,0.792,2–1,2,3,49.2,51.1,25.5,20.1,15.3,15.3,36.8,21.4,67.5,46.7,51.9,36.8,33.3,3.7,10.4,44.0,46.2,29.7,37.9,66.3,78.4,81.556,2.438,2015,0.0,0.0,53.819,67.3,88.6,1.097,1.032,39.113,13.0
42,Creighton,112.3,100.1,0.79,1–1,1,2,52.2,52.3,30.4,17.4,15.2,12.3,16.9,28.8,69.3,46.9,45.9,39.6,42.6,8.2,4.7,69.4,42.4,42.9,35.6,69.7,77.863,81.611,1.534,2015,0.0,0.0,67.285,88.2,78.3,1.061,1.126,37.827,
43,Northwestern,96.5,86.2,0.786,0–1,0,1,36.4,48.0,31.8,56.9,5.8,21.6,28.3,24.2,61.7,35.7,45.2,25.0,35.0,9.7,2.4,57.1,28.6,36.4,39.2,64.2,77.681,81.196,2.317,2015,0.0,0.0,46.827,81.0,62.1,0.937,0.966,35.132,
44,Iona,109.9,98.6,0.777,3–0,3,3,52.1,43.2,34.5,23.6,17.3,22.5,41.5,30.9,63.6,49.5,45.6,37.7,25.9,8.7,2.8,48.7,41.9,36.3,36.0,66.0,77.495,81.431,1.855,2015,0.0,0.0,4.234,75.9,76.3,1.158,0.881,4.423,
45,College of Charleston,102.1,91.7,0.775,3–0,3,3,43.9,44.3,39.8,21.0,13.6,20.8,32.0,26.2,68.8,50.0,48.8,25.3,22.6,8.1,12.2,44.1,43.1,50.3,30.1,71.6,76.906,79.849,2.033,2015,0.0,0.0,0.2,76.4,70.3,1.037,0.882,8.892,
46,Iowa,114.6,103.0,0.773,0–1,0,1,50.0,55.1,28.6,16.9,17.4,12.7,35.5,31.0,63.2,56.4,53.7,23.5,38.9,12.2,10.3,42.3,58.6,30.4,30.5,64.3,78.343,80.599,2.019,2015,0.0,0.0,48.544,81.3,80.0,1.092,1.156,33.111,26.0
47,Montana St.,107.1,96.8,0.762,3–0,3,3,49.1,45.7,57.0,34.1,17.0,18.4,26.3,27.0,65.8,45.6,46.2,38.6,29.6,5.9,4.4,52.2,26.8,27.8,31.2,65.9,77.314,80.149,2.336,2015,0.0,0.0,12.854,82.2,86.4,1.078,0.984,7.066,
48,Howard,101.2,91.6,0.759,3–0,3,3,52.6,37.1,43.6,30.2,22.8,19.4,40.8,32.3,70.3,53.6,40.3,33.9,20.6,12.6,7.3,62.5,37.7,36.0,34.6,68.6,76.881,80.642,1.593,2015,0.0,0.0,10.855,65.3,70.9,1.091,0.825,4.276,
49,Furman,115.7,105.0,0.753,3–0,3,3,52.4,47.0,61.6,28.8,10.5,16.3,23.4,32.1,66.9,59.5,53.5,30.0,24.3,7.9,4.8,41.9,39.7,48.8,38.0,67.3,76.593,79.326,1.897,2015,0.0,0.0,4.21,71.3,83.0,1.17,1.04,7.264,
50,Auburn,118.2,107.7,0.745,0–1,0,1,53.9,59.0,52.9,46.0,14.8,28.2,20.0,50.0,67.4,57.1,64.1,31.3,27.3,5.1,5.7,52.0,53.6,31.4,22.0,65.1,76.751,81.111,2.191,2015,0.0,0.0,47.35,66.7,73.9,1.083,1.128,48.645,
51,Saint Mary's,110.6,101.1,0.738,1–1,1,2,47.0,59.4,48.5,36.6,17.5,14.4,29.7,25.0,62.7,44.3,57.5,35.5,42.9,5.5,15.7,50.0,53.7,30.7,27.7,60.4,78.13,81.167,1.899,2015,0.0,0.0,32.624,65.3,70.3,1.013,1.164,43.666,
52,Illinois,114.6,104.9,0.734,0–1,0,1,50.0,58.9,29.7,39.3,10.3,14.8,31.4,32.3,67.7,53.5,60.0,28.6,38.1,11.4,7.0,51.7,44.8,32.8,37.5,70.5,78.708,81.369,1.407,2015,0.0,0.0,80.508,63.2,59.1,1.122,1.166,35.132,
53,Kennesaw St.,105.2,97.0,0.718,3–0,3,3,55.4,45.8,39.9,24.3,16.6,15.1,21.1,30.4,68.5,56.6,52.0,35.6,22.7,8.1,6.1,46.8,46.8,37.3,34.9,68.0,75.888,78.649,2.372,2015,0.0,0.0,21.451,61.9,65.2,1.042,0.988,10.796,
54,Northern Kentucky,112.5,104.3,0.705,3–0,3,3,48.8,51.9,51.6,28.5,12.3,19.7,35.6,30.4,62.5,49.5,51.5,31.8,35.1,9.9,8.4,39.7,63.9,41.0,36.1,62.3,76.519,79.261,2.019,2015,0.0,0.0,3.182,74.7,75.6,1.169,1.057,7.72,
55,Texas Southern,97.6,92.7,0.644,3–0,3,3,42.9,39.8,51.5,46.3,21.9,22.4,39.8,31.0,68.6,42.3,43.6,30.0,21.2,9.1,12.2,53.1,42.4,24.5,32.1,68.6,77.201,80.339,1.762,2015,0.0,0.0,6.564,72.6,69.3,0.977,0.88,5.73,66.0
56,Providence,108.7,103.5,0.637,0–1,0,1,46.6,65.1,29.3,9.4,14.0,28.0,28.6,40.0,64.2,51.4,65.2,26.1,43.3,0.0,8.6,54.2,75.0,39.7,56.6,64.5,76.513,80.261,1.886,2015,0.0,0.0,60.584,70.6,80.0,1.028,1.137,64.125,17.0
57,UC Santa Barbara,112.6,107.5,0.63,3–0,3,3,53.8,49.1,50.6,35.8,10.5,17.0,13.8,26.5,66.5,51.4,52.2,40.0,27.7,5.2,8.1,50.7,35.6,28.8,29.0,68.6,77.864,80.934,2.238,2015,0.0,0.0,33.427,75.9,75.9,1.143,1.017,10.417,
58,Kentucky,109.2,105.0,0.611,0–1,0,1,47.0,58.5,30.3,37.7,19.1,17.6,51.2,21.4,68.0,53.7,57.1,24.0,40.0,7.1,2.4,39.3,38.5,37.9,47.2,68.7,77.589,80.828,1.993,2015,0.0,0.0,61.922,55.0,90.0,1.074,1.176,26.674,2.0
